team_id,team_name,student_ids
1,Big L Club,2291|2166|2009|2322|2316
2,CRH Math Team,1053|949|2323|138
3,CRLS Omega,1134|2335|2300
4,CSW A,2304|2332
5,Edison Academy Magnet School,958|2318|2319|2292|2333
6,Garnet Valley Math Team,2312|2246|2330
7,Hotchkiss Blue,119|1652|2285|2339
8,Individuals Team 152,1685|2320|2330
9,Individuals Team 153,1419|2310|2321
10,Individuals Team 154,2334|1666
11,Jericho High School A,2267|1685|2239|978|2337
12,Just Woo It,2308|2299|2317|2305
13,Knights Beta,2309|2263|382
14,MHSProfessionalJobbers,1123|445|2307|2171|2326|127
15,Millburn Mathematical Madpeople,3|2338|2326|2253
16,PRISMS Young Falcons,2138|2319|2300
17,Pingry Team A,2257|407|2315|2324|1621|1623
18,Ridge Mu Alpha Theta,1942
19,Sierra Canyon School,96|1874|2313|2314|2186|2191|2288
20,Team :blobcosy:,2311|2301|2327
21,Ward Melville Math Team,548|184|2339
22,Warriors,1793|1646|2010|2329|1707
